,jpgs,cells,location,site,plot,year
56,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-63-202206.jpg,164211440,M,15,63,202206
57,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-63-202210.jpg,150252920,M,15,63,202210
58,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-63-202305.jpg,157231614,M,15,63,202305
59,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-64-2021.jpg,199780711,M,15,64,2021
60,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-64-202206.jpg,197963883,M,15,64,202206
61,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M15-64-202210.jpg,176052128,M,15,64,202210
62,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-89-2021.jpg,235519249,M,17,89,2021
63,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-89-202206.jpg,197916407,M,17,89,202206
64,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-89-202210.jpg,205894944,M,17,89,202210
65,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-89-202305.jpg,205221552,M,17,89,202305
66,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-90-2021.jpg,197786312,M,17,90,2021
67,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-90-202206.jpg,169105620,M,17,90,202206
68,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-90-202210.jpg,186225304,M,17,90,202210
69,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-90-202305.jpg,159959667,M,17,90,202305
70,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-91-2021.jpg,221691331,M,17,91,2021
71,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-91-202206.jpg,213439686,M,17,91,202206
72,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-91-202305.jpg,174572986,M,17,91,202305
73,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-92-2021.jpg,228817271,M,17,92,2021
74,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-92-202206.jpg,196103363,M,17,92,202206
75,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-92-202210.jpg,202457984,M,17,92,202210
76,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M17-92-202305.jpg,195222406,M,17,92,202305
77,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-73-2021.jpg,220473945,M,28,73,2021
78,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-73-202206.jpg,198639513,M,28,73,202206
79,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-73-202210.jpg,186645871,M,28,73,202210
80,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-73-202305.jpg,197454629,M,28,73,202305
81,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-74-2021.jpg,256231726,M,28,74,2021
82,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-74-202206.jpg,173167742,M,28,74,202206
83,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-74-202210.jpg,195080091,M,28,74,202210
84,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-74-202305.jpg,171801427,M,28,74,202305
85,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-75-202206.jpg,160198960,M,28,75,202206
86,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-75-202210.jpg,133252992,M,28,75,202210
87,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-75-202305.jpg,152487361,M,28,75,202305
88,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-76-2021.jpg,225884882,M,28,76,2021
89,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-76-202206.jpg,171066496,M,28,76,202206
90,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-76-202210.jpg,207162581,M,28,76,202210
91,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M28-76-202305.jpg,207108859,M,28,76,202305
92,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-57-2021.jpg,246643010,M,38,57,2021
93,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-57-202206.jpg,199614072,M,38,57,202206
94,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-57-202210.jpg,196638853,M,38,57,202210
95,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-57-202305.jpg,183793476,M,38,57,202305
96,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-58-2021.jpg,194815393,M,38,58,2021
97,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-58-202206.jpg,177568201,M,38,58,202206
98,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-58-202210.jpg,219064089,M,38,58,202210
99,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-58-202305.jpg,176477303,M,38,58,202305
100,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-59-2021.jpg,238187307,M,38,59,2021
101,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-59-202206.jpg,192364870,M,38,59,202206
102,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-59-202210.jpg,224700159,M,38,59,202210
103,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-59-202305.jpg,195543656,M,38,59,202305
104,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-60-2021.jpg,250564702,M,38,60,2021
105,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-60-202206.jpg,186879783,M,38,60,202206
106,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-60-202210.jpg,145312383,M,38,60,202210
107,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M38-60-202305.jpg,158713696,M,38,60,202305
