stage,fate,area1,area2,class,action,location
juvenile,juvenile,34.57,16.21,porites astreoides,shrink,m
juvenile,juvenile,39.25,34.08,porites astreoides,shrink,m
juvenile,juvenile,21.37,15.41,porites astreoides,shrink,m
juvenile,juvenile,10.66,10.13,porites astreoides,shrink,m
juvenile,juvenile,10.34,7.6,porites astreoides,shrink,m
juvenile,juvenile,2.64,2.38,porites astreoides,shrink,m
juvenile,juvenile,23.6,20.29,porites astreoides,shrink,m
adult,adult,110.46,103.02,porites astreoides,shrink,m
juvenile,juvenile,34.93,27.78,porites astreoides,shrink,m
intermediate,juvenile,64.91,46.78,porites astreoides,shrink,m
intermediate,juvenile,61.76,20.58,porites astreoides,shrink,m
juvenile,juvenile,18.12,16.04,porites astreoides,shrink,m
juvenile,juvenile,40.66,35.07,porites astreoides,shrink,m
intermediate,intermediate,99.77,74.26,porites astreoides,shrink,m
intermediate,juvenile,66.74,45.69,porites astreoides,shrink,m
juvenile,juvenile,26.04,21.88,porites astreoides,shrink,m
juvenile,juvenile,42.18,29.92,porites astreoides,shrink,m
juvenile,juvenile,24.31,18.5,porites astreoides,shrink,m
juvenile,juvenile,15.49,12.69,porites astreoides,shrink,m
intermediate,juvenile,53.78,13.48,porites astreoides,shrink,m
juvenile,juvenile,10.18,6.72,porites astreoides,shrink,m
juvenile,juvenile,13.36,10.79,porites astreoides,shrink,m
juvenile,juvenile,28.05,24.44,porites astreoides,shrink,m
intermediate,intermediate,61.91,55.66,porites astreoides,shrink,m
juvenile,juvenile,20.12,17.54,dlab,shrink,m
intermediate,intermediate,74.91,60.88,porites astreoides,shrink,m
juvenile,juvenile,15.51,13.17,porites astreoides,shrink,m
juvenile,juvenile,4.45,4.23,porites astreoides,shrink,m
juvenile,juvenile,3.13,2.29,porites astreoides,shrink,m
NA,juvenile,0,2.41,porites astreoides,born,m
NA,juvenile,0,3.47,porites astreoides,born,m
NA,juvenile,0,3.19,porites astreoides,born,m
NA,juvenile,0,1.21,porites astreoides,born,m
NA,juvenile,0,3.19,porites astreoides,born,m
NA,juvenile,0,2.7,porites astreoides,born,m
NA,juvenile,0,2.91,porites astreoides,born,m
NA,juvenile,0,2.5,porites astreoides,born,m
NA,juvenile,0,2.21,porites astreoides,born,m
NA,juvenile,0,3.03,porites astreoides,born,m
NA,juvenile,0,1.4,porites astreoides,born,m
NA,juvenile,0,0.66,porites astreoides,born,m
NA,juvenile,0,3.38,porites astreoides,born,m
NA,juvenile,0,0.9,porites astreoides,born,m
NA,juvenile,0,3.79,porites astreoides,born,m
NA,juvenile,0,2.22,porites astreoides,born,m
NA,juvenile,0,2.2,porites astreoides,born,m
NA,juvenile,0,3.01,porites astreoides,born,m
NA,juvenile,0,3.21,porites astreoides,born,m
NA,juvenile,0,1.57,porites astreoides,born,m
NA,juvenile,0,2.28,porites astreoides,born,m
NA,juvenile,0,2.2,porites astreoides,born,m
NA,juvenile,0,2.07,porites astreoides,born,m
NA,juvenile,0,2.44,porites astreoides,born,m
NA,juvenile,0,2.77,porites astreoides,born,m
NA,juvenile,0,3.57,porites astreoides,born,m
NA,juvenile,0,2.07,porites astreoides,born,m
NA,juvenile,0,2.26,porites astreoides,born,m
NA,juvenile,0,1.83,porites astreoides,born,m
NA,juvenile,0,3.47,porites astreoides,born,m
NA,juvenile,0,2.65,porites astreoides,born,m
NA,juvenile,0,3.58,porites astreoides,born,m
NA,juvenile,0,3.93,porites astreoides,born,m
NA,juvenile,0,2.38,porites astreoides,born,m
NA,juvenile,0,3.46,porites astreoides,born,m
NA,juvenile,0,2.14,porites astreoides,born,m
NA,juvenile,0,2.79,porites astreoides,born,m
NA,juvenile,0,3.43,porites astreoides,born,m
NA,juvenile,0,1.22,porites astreoides,born,m
NA,juvenile,0,3.18,porites astreoides,born,m
NA,juvenile,0,3.03,porites astreoides,born,m
NA,juvenile,0,3.39,porites astreoides,born,m
NA,juvenile,0,2.6,porites astreoides,born,m
NA,juvenile,0,2.03,porites astreoides,born,m
NA,juvenile,0,2.83,porites astreoides,born,m
NA,juvenile,0,3.6,porites astreoides,born,m
NA,juvenile,0,3.45,porites astreoides,born,m
NA,juvenile,0,2.95,porites astreoides,born,m
NA,juvenile,0,2.86,porites astreoides,born,m
NA,juvenile,0,2.01,porites astreoides,born,m
NA,juvenile,0,2.23,porites astreoides,born,m
NA,juvenile,0,2.69,porites astreoides,born,m
NA,juvenile,0,3.42,porites astreoides,born,m
NA,juvenile,0,3.95,porites astreoides,born,m
NA,juvenile,0,2.67,porites astreoides,born,m
juvenile,dead,25.84,0,porites astreoides,dead,m
juvenile,dead,6.64,0,porites astreoides,dead,m
juvenile,dead,8.78,0,porites astreoides,dead,m
juvenile,dead,3.88,0,porites astreoides,dead,m
juvenile,dead,25.99,0,porites astreoides,dead,m
adult,dead,123.14,0,dlab,dead,m
juvenile,dead,13.8,0,porites astreoides,dead,m
juvenile,dead,30.73,0,porites astreoides,dead,m
juvenile,juvenile,16.48,27.23,porites astreoides,grow,m
juvenile,juvenile,14.5,27.15,porites astreoides,grow,m
juvenile,juvenile,4.19,5.48,porites astreoides,grow,m
juvenile,juvenile,38.56,47.46,porites astreoides,grow,m
intermediate,intermediate,51.67,61.9,porites astreoides,grow,m
juvenile,juvenile,19.13,27.65,porites astreoides,grow,m
juvenile,juvenile,19.54,24.77,porites astreoides,grow,m
juvenile,juvenile,19.21,24.82,porites astreoides,grow,m
juvenile,juvenile,14.41,21.88,porites astreoides,grow,m
juvenile,juvenile,13.41,20.39,porites astreoides,grow,m
juvenile,intermediate,42.8,56.08,porites astreoides,grow,m
juvenile,juvenile,5.79,7.36,porites astreoides,grow,m
juvenile,juvenile,2.13,2.32,porites astreoides,grow,m
juvenile,juvenile,14.31,18.81,porites astreoides,grow,m
juvenile,juvenile,5.24,5.86,porites astreoides,grow,m
juvenile,juvenile,1.29,4.45,porites astreoides,grow,m
juvenile,juvenile,7.15,12.44,porites astreoides,grow,m
juvenile,juvenile,25.03,31,porites astreoides,grow,m
juvenile,juvenile,6.55,10.7,porites astreoides,grow,m
juvenile,juvenile,2.7,2.98,porites astreoides,grow,m
juvenile,juvenile,12.72,17.23,porites astreoides,grow,m
juvenile,juvenile,23.75,36.71,porites astreoides,grow,m
juvenile,juvenile,30.32,34.86,porites astreoides,grow,m
juvenile,juvenile,38.95,41.81,porites astreoides,grow,m
juvenile,juvenile,10.07,11.74,porites astreoides,grow,m
juvenile,juvenile,20.75,22.27,porites astreoides,grow,m
juvenile,juvenile,23.42,29.15,porites astreoides,grow,m
juvenile,juvenile,19.02,27.5,porites astreoides,grow,m
juvenile,juvenile,34.64,44.31,porites astreoides,grow,m
juvenile,juvenile,20.05,21.67,porites astreoides,grow,m
juvenile,juvenile,10.96,15.81,porites astreoides,grow,m
intermediate,intermediate,62.75,70.84,porites astreoides,grow,m
juvenile,intermediate,48.98,51.81,porites astreoides,grow,m
juvenile,juvenile,2.85,4.1,porites astreoides,grow,m
juvenile,juvenile,10.52,17.4,porites astreoides,grow,m
juvenile,juvenile,12.14,14.97,porites astreoides,grow,m
juvenile,juvenile,11.44,12.91,porites astreoides,grow,m
juvenile,juvenile,5.75,8.4,porites astreoides,grow,m
juvenile,juvenile,2.26,2.83,porites astreoides,grow,m
intermediate,intermediate,69.86,83.4,porites astreoides,grow,m
juvenile,juvenile,25,28.68,porites astreoides,grow,m
juvenile,juvenile,13.21,14.68,porites astreoides,grow,m
juvenile,juvenile,7.4,15.21,porites astreoides,grow,m
juvenile,juvenile,3.92,5.47,porites astreoides,grow,m
juvenile,juvenile,16.93,18.55,porites astreoides,grow,m
juvenile,juvenile,4.95,6.02,porites astreoides,grow,m
juvenile,juvenile,29.42,32.35,porites astreoides,grow,m
juvenile,juvenile,27.9,30.84,porites astreoides,grow,m
juvenile,intermediate,46.86,59.62,porites astreoides,grow,m
juvenile,juvenile,5.97,6.32,porites astreoides,grow,m
juvenile,juvenile,5.4,7.01,porites astreoides,grow,m
adult,adult,154.78,172.56,porites astreoides,grow,m
