"period","yearmonth","location","site","plot","cluster","clustersize"
"dieoff",202206,"Maguey","12","53",0,0
"dieoff",202206,"Maguey","12","54",0,0
"dieoff",202206,"Maguey","12","55",0,0
"dieoff",202206,"Maguey","12","56",0,0
"dieoff",202206,"Maguey","28","73",0,0
"dieoff",202206,"Maguey","28","74",0,0
"dieoff",202206,"Maguey","28","75",0,0
"dieoff",202206,"Maguey","28","76",0,0
"dieoff",202206,"Maguey","38","57",0,0
"dieoff",202206,"Maguey","38","58",0,0
"dieoff",202206,"Maguey","38","59",0,0
"dieoff",202206,"Maguey","38","60",0,0
"dieoff",202206,"Maguey","43","65",0,0
"dieoff",202206,"Maguey","43","66",0,0
"dieoff",202206,"Maguey","43","67",0,0
"dieoff",202206,"Maguey","43","68",0,0
"dieoff",202206,"Maguey","45","85",0,0
"dieoff",202206,"Maguey","45","86",0,0
"dieoff",202206,"Maguey","45","87",0,0
"dieoff",202206,"Maguey","45","88",0,0
"dieoff",202206,"Maguey","48","49",0,0
"dieoff",202206,"Maguey","48","50",0,0
"dieoff",202206,"Maguey","48","51",0,0
"dieoff",202206,"Maguey","48","52",0,0
"dieoff",202206,"Maguey","73","77",1,1
"dieoff",202206,"Maguey","73","77",2,1
"dieoff",202206,"Maguey","73","78",0,0
"dieoff",202206,"Maguey","73","79",0,0
"dieoff",202206,"Maguey","73","80",0,0
"dieoff",202206,"Maguey","74","93",0,0
"dieoff",202206,"Maguey","74","94",0,0
"dieoff",202206,"Maguey","74","95",0,0
"dieoff",202206,"Maguey","74","96",0,0
"dieoff",202206,"Tampico","22","33",0,0
"dieoff",202206,"Tampico","22","34",0,0
"dieoff",202206,"Tampico","22","35",0,0
"dieoff",202206,"Tampico","22","36",0,0
"dieoff",202206,"Tampico","26","45",0,0
"dieoff",202206,"Tampico","26","46",0,0
"dieoff",202206,"Tampico","26","47",0,0
"dieoff",202206,"Tampico","26","48",0,0
"dieoff",202206,"Tampico","26","48",0,0
"dieoff",202206,"Tampico","43","21",0,0
"dieoff",202206,"Tampico","43","22",0,0
"dieoff",202206,"Tampico","43","23",0,0
"dieoff",202206,"Tampico","43","24",0,0
"dieoff",202206,"Tampico","45","25",0,0
"dieoff",202206,"Tampico","45","26",0,0
"dieoff",202206,"Tampico","45","27",0,0
"dieoff",202206,"Tampico","45","28",0,0
"dieoff",202206,"Maguey","10","81",0,0
"dieoff",202206,"Maguey","10","82",0,0
"dieoff",202206,"Maguey","10","83",0,0
"dieoff",202206,"Maguey","15","61",0,0
"dieoff",202206,"Maguey","15","62",0,0
"dieoff",202206,"Maguey","15","63",0,0
"dieoff",202206,"Maguey","15","64",0,0
"dieoff",202206,"Tampico","01","14",0,0
"dieoff",202206,"Tampico","01","15",0,0
"dieoff",202206,"Tampico","01","16",1,1
"dieoff",202206,"Tampico","04","05",0,0
"dieoff",202206,"Tampico","04","06",1,1
"dieoff",202206,"Tampico","04","07",0,0
"dieoff",202206,"Tampico","04","08",0,0
"dieoff",202206,"Tampico","20","09",1,1
"dieoff",202206,"Tampico","20","10",1,1
"dieoff",202206,"Tampico","20","11",1,1
"dieoff",202206,"Tampico","20","12",1,1
"dieoff",202206,"Tampico","23","45",0,0
"dieoff",202206,"Tampico","23","46",0,0
"dieoff",202206,"Tampico","23","47",0,0
"dieoff",202206,"Tampico","23","48",0,0
"dieoff",202206,"Tampico","24","29",0,0
"dieoff",202206,"Tampico","24","30",0,0
"dieoff",202206,"Tampico","24","31",0,0
"dieoff",202206,"Tampico","24","32",0,0
"dieoff",202206,"Tampico","35","01",0,0
"dieoff",202206,"Tampico","35","02",0,0
"dieoff",202206,"Tampico","35","03",0,0
"dieoff",202206,"Tampico","35","04",0,0
"dieoff",202206,"Tampico","37","17",0,0
"dieoff",202206,"Tampico","37","18",1,1
"dieoff",202206,"Tampico","37","19",0,0
"dieoff",202206,"Tampico","37","20",0,0
"dieoff",202206,"Tampico","39","37",0,0
"dieoff",202206,"Tampico","39","38",0,0
"dieoff",202206,"Tampico","39","39",0,0
"dieoff",202206,"Tampico","39","40",1,1
"after 12mo",202305,"Maguey","08","69",0,0
"after 12mo",202305,"Maguey","08","70",0,0
"after 12mo",202305,"Maguey","08","71",0,0
"after 12mo",202305,"Maguey","10","84",0,0
"after 12mo",202305,"Maguey","10","81",0,0
"after 12mo",202305,"Maguey","10","82",0,0
"after 12mo",202305,"Maguey","10","83",0,0
"after 12mo",202305,"Maguey","12","56",0,0
"after 12mo",202305,"Maguey","12","54",0,0
"after 12mo",202305,"Maguey","15","63",0,0
"after 12mo",202305,"Maguey","15","61",1,1
"after 12mo",202305,"Maguey","15","62",0,0
"after 12mo",202305,"Maguey","17","89",1,1
"after 12mo",202305,"Maguey","17","90",0,0
"after 12mo",202305,"Maguey","17","91",0,0
"after 12mo",202305,"Maguey","17","92",0,0
"after 12mo",202305,"Maguey","28","74",1,1
"after 12mo",202305,"Maguey","28","73",0,0
"after 12mo",202305,"Maguey","28","75",0,0
"after 12mo",202305,"Maguey","28","76",0,0
"after 12mo",202305,"Maguey","38","60",0,0
"after 12mo",202305,"Maguey","38","57",0,0
"after 12mo",202305,"Maguey","38","58",0,0
"after 12mo",202305,"Maguey","38","59",0,0
"after 12mo",202305,"Maguey","43","66",0,0
"after 12mo",202305,"Maguey","43","65",0,0
"after 12mo",202305,"Maguey","43","67",0,0
"after 12mo",202305,"Maguey","43","68",0,0
"after 12mo",202305,"Maguey","45","85",0,0
"after 12mo",202305,"Maguey","45","86",0,0
"after 12mo",202305,"Maguey","45","87",0,0
"after 12mo",202305,"Maguey","45","88",0,0
"after 12mo",202305,"Maguey","48","49",0,0
"after 12mo",202305,"Maguey","48","50",0,0
"after 12mo",202305,"Maguey","48","51",0,0
"after 12mo",202305,"Maguey","48","52",0,0
"after 12mo",202305,"Maguey","73","77",1,1
"after 12mo",202305,"Maguey","73","78",0,0
"after 12mo",202305,"Maguey","73","79",0,0
"after 12mo",202305,"Maguey","73","80",1,1
"after 12mo",202305,"Maguey","74","93",0,0
"after 12mo",202305,"Maguey","74","94",1,1
"after 12mo",202305,"Maguey","74","95",0,0
"after 12mo",202305,"Maguey","74","96",1,1
"after 12mo",202305,"Tampico","01","14",0,0
"after 12mo",202305,"Tampico","01","15",1,2
"after 12mo",202305,"Tampico","01","16",0,0
"after 12mo",202305,"Tampico","04","05",0,0
"after 12mo",202305,"Tampico","04","06",0,0
"after 12mo",202305,"Tampico","04","07",0,0
"after 12mo",202305,"Tampico","04","08",0,0
"after 12mo",202305,"Tampico","20","09",0,0
"after 12mo",202305,"Tampico","20","10",0,0
"after 12mo",202305,"Tampico","20","11",0,0
"after 12mo",202305,"Tampico","20","12",0,0
"after 12mo",202305,"Tampico","22","35",0,0
"after 12mo",202305,"Tampico","22","33",0,0
"after 12mo",202305,"Tampico","22","34",0,0
"after 12mo",202305,"Tampico","22","36",0,0
"after 12mo",202305,"Tampico","23","45",1,1
"after 12mo",202305,"Tampico","23","46",1,1
"after 12mo",202305,"Tampico","23","47",0,0
"after 12mo",202305,"Tampico","23","48",1,1
"after 12mo",202305,"Tampico","24","29",0,0
"after 12mo",202305,"Tampico","24","30",0,0
"after 12mo",202305,"Tampico","24","31",0,0
"after 12mo",202305,"Tampico","24","32",0,0
"after 12mo",202305,"Tampico","35","01",0,0
"after 12mo",202305,"Tampico","35","02",0,0
"after 12mo",202305,"Tampico","35","03",0,0
