"period","location","site","plot","counts","mean_size","sd_size"
"after 12mo","Tampico","20","11",0,0,NA
"after 6mo","Tampico","20","11",0,0,NA
"baseline","Tampico","20","11",5,1.6,0.547722557505166
"dieoff","Tampico","20","11",1,1,NA
"after 12mo","Tampico","20","12",0,0,NA
"after 6mo","Tampico","20","12",0,0,NA
"baseline","Tampico","20","12",2,1,0
"dieoff","Tampico","20","12",1,1,NA
"after 12mo","Tampico","22","33",0,0,NA
"after 6mo","Tampico","22","33",0,0,NA
"baseline","Tampico","22","33",0,0,NA
"dieoff","Tampico","22","33",0,0,NA
"after 12mo","Tampico","22","34",0,0,NA
"after 6mo","Tampico","22","34",0,0,NA
"baseline","Tampico","22","34",0,0,NA
"dieoff","Tampico","22","34",0,0,NA
"after 12mo","Tampico","22","35",0,0,NA
"after 6mo","Tampico","22","35",0,0,NA
"baseline","Tampico","22","35",0,0,NA
"dieoff","Tampico","22","35",0,0,NA
"after 12mo","Tampico","22","36",0,0,NA
"after 6mo","Tampico","22","36",0,0,NA
"baseline","Tampico","22","36",2,1,0
"dieoff","Tampico","22","36",0,0,NA
"after 12mo","Tampico","23","45",1,1,NA
"after 6mo","Tampico","23","45",0,0,NA
"baseline","Tampico","23","45",13,1.84615384615385,0.898717034272917
"dieoff","Tampico","23","45",0,0,NA
"after 12mo","Tampico","23","46",1,1,NA
"after 6mo","Tampico","23","46",0,0,NA
"baseline","Tampico","23","46",4,1.75,1.5
"dieoff","Tampico","23","46",0,0,NA
"after 12mo","Tampico","23","47",0,0,NA
"after 6mo","Tampico","23","47",0,0,NA
"baseline","Tampico","23","47",3,1.66666666666667,1.15470053837925
"dieoff","Tampico","23","47",0,0,NA
"after 12mo","Tampico","23","48",1,1,NA
"baseline","Tampico","23","48",23,2.26086956521739,0.963770592485946
"dieoff","Tampico","23","48",0,0,NA
"after 12mo","Tampico","24","29",0,0,NA
"after 6mo","Tampico","24","29",0,0,NA
"baseline","Tampico","24","29",0,0,NA
"dieoff","Tampico","24","29",0,0,NA
"after 12mo","Tampico","24","30",0,0,NA
"after 6mo","Tampico","24","30",0,0,NA
"baseline","Tampico","24","30",0,0,NA
"dieoff","Tampico","24","30",0,0,NA
"after 12mo","Tampico","24","31",0,0,NA
"after 6mo","Tampico","24","31",0,0,NA
"baseline","Tampico","24","31",0,0,NA
"dieoff","Tampico","24","31",0,0,NA
"after 12mo","Tampico","24","32",0,0,NA
"after 6mo","Tampico","24","32",0,0,NA
"baseline","Tampico","24","32",0,0,NA
"dieoff","Tampico","24","32",0,0,NA
"after 6mo","Tampico","26","41",0,0,NA
"after 6mo","Tampico","26","42",0,0,NA
"after 6mo","Tampico","26","43",0,0,NA
"after 6mo","Tampico","26","44",0,0,NA
"dieoff","Tampico","26","45",0,0,NA
"dieoff","Tampico","26","46",0,0,NA
