location,site,plot,scale,resolution,ca,clumpy,enn_mn,gyrate_mn,lpi,np,period
M,28,74,1199.208,0.001667767393146143,0.30698564288121266,0.9703960585748772,0.4296412161339655,0.0241080527521677,0.008430514963683921,80,baseline
M,28,74,1074.5282,0.0018612820026500934,0.33796321862288453,0.9651055472337149,0.43235725430627037,0.03491733784888372,0.09401750992981697,48,dieoff
M,28,74,1204.8038,0.0016600213246339363,2.8010126055536397,0.9678437804761797,0.11463965172532198,0.03583170647575291,0.043511329895795925,380,after 6mo
M,28,74,1181.7868,0.0016923526307790879,0.07637581940327297,0.979581807709348,1.1088093824992156,0.03022986996009573,0.021294771952330687,13,after 12mo
M,28,76,1118.66,0.0017878533245132568,0.7475146666023103,0.9767410244612841,0.5148978341173193,0.03121704820276423,0.02869159242037993,109,baseline
M,28,76,1069.469,0.001870086930990987,0.4226676346966741,0.9775504711541836,0.3873132701229817,0.03802574719195982,0.11061214157692993,42,dieoff
M,28,76,1274.1004,0.0015697350067545696,2.9474836343976056,0.973134459312249,0.13138156381287872,0.041471341257828906,0.17892287505937624,298,after 6mo
M,28,76,1191.2425,0.001678919279659683,0.1257199584334869,0.9848446984005562,0.9802894039255896,0.03500070227406551,0.03922450354736604,14,after 12mo
M,38,57,1043.168,0.0019172367250529158,4.947008446171932,0.9731613547350993,0.13804112338070254,0.030383788420755672,0.049767432611497665,731,baseline
M,38,57,1095.5742,0.001825526742049968,1.386139967677705,0.9710357988802643,0.25055213920856756,0.04141576328939507,0.051702495200699555,144,dieoff
M,38,57,1053.595,0.0018982626151414917,0.8401437431044834,0.9670169738089451,0.24615344594590907,0.041932200763044034,0.04420297985938256,85,after 6mo
M,38,57,1096.0268,0.001824772897888993,0.3696539874503956,0.9734861943323146,0.4237975197765042,0.02522612386875029,0.027301997766680977,77,after 12mo
M,38,58,1042.353,0.001918735783367055,1.4572188914216153,0.9788333166549473,0.38068372467208966,0.03898346551197553,0.04790325467696741,141,baseline
M,38,58,1006.4532,0.0019871763535552374,3.5250653001304544,0.9728064229751169,0.13797874263296442,0.048282533000211646,0.043236984942594765,265,dieoff
M,38,58,1036.1564,0.00193021053578398,2.121804566879255,0.9690876973280738,0.18835919493520134,0.04372729881612161,0.057482122610436275,192,after 6mo
M,38,58,1036.3416,0.0019298655964404016,0.8918254294939676,0.9804822071970638,0.3970938164807384,0.03696492552368955,0.06628113829760149,86,after 12mo
M,38,59,1108.163,0.001804788645713672,1.7874225530637236,0.979272240017097,0.29602219837938,0.03532936101758911,0.04442937162219208,194,baseline
M,38,59,1055.2762,0.0018952384219410993,2.5532542526910276,0.9762134537673003,0.20813909743076026,0.051144491567848505,0.09884759210207,167,dieoff
M,38,59,1255.3644,0.0015931629095105773,1.6378544650112437,0.9691570515249469,0.13620249130354245,0.031656318422063796,0.06094498175923484,268,after 6mo
M,38,59,1171.2984,0.0017075068146596975,0.27024506590431163,0.9789314016778721,0.5068966802428189,0.0271930036187312,0.04661648041256544,45,after 12mo
M,38,60,1216.409,0.0016441838230397833,1.71305817920041,0.9792007393878512,0.25545090298619816,0.03570946272479499,0.03882094841324568,201,baseline
M,38,60,1141.8756,0.0017515042794504058,2.753382454082263,0.980435269139506,0.1794694353219647,0.053196416029712174,0.16569046391119624,154,dieoff
M,38,60,1029.6564,0.0019423955408814045,2.414331810393415,0.9665590362629445,0.10231771372504937,0.03892582666195771,0.05169837516030732,273,after 6mo
M,38,60,1129.453,0.0017707686818309394,0.5820654607288259,0.9902666930981376,0.9147021163281703,0.061279974310140435,0.1083479177162703,21,after 12mo
M,43,65,1223.846,0.0016341925372963591,17.906047094497865,0.9846490659444046,0.09856899258837669,0.05697251413202597,0.13063611995420585,833,baseline
M,43,65,1114.63,0.0017943173968043204,0.22172246604832654,0.9688922533159291,0.5785033803036225,0.024043427348648987,0.006609466980461922,58,dieoff
M,43,65,1123.2026,0.0017806226588150704,1.2112454678538862,0.962934664870008,0.21298157100509693,0.03228660918301455,0.030677904027469123,215,after 6mo
M,43,65,1283.595,0.0015581238630564937,0.1937757195650967,0.976243696714452,0.7783514177557098,0.027596005421458566,0.019169537998878744,40,after 12mo
M,43,66,1214.656,0.0016465567205859108,10.661333306317044,0.9848276759756798,0.13450702625684444,0.04926633974345798,0.11308024332332538,602,baseline
M,43,66,1099.4665,0.001819064064252981,0.33856303725144515,0.9724836756025267,0.5042931380806962,0.028499461276603077,0.00913782237589043,65,dieoff
M,43,66,1080.6835,0.0018506806109281763,0.2511977232310742,0.9815085480416651,0.9183002280721996,0.03777345214747331,0.02295210961877629,26,after 6mo
M,43,66,1132.2544,0.0017663874832369827,0.17873634578453487,0.9793718012307319,0.5755188347971114,0.03025167673108767,0.02298891014974376,27,after 12mo
M,43,67,1148.298,0.0017417081628636468,7.863336892289444,0.98501393015888306,0.1528608852038689,0.05282532198951124,0.2679474869057226,383,baseline
M,43,67,1025.698,0.0019498916835169805,0.39077373133259824,0.964435686670991,0.40583586180494685,0.023451837719820078,0.016396007631309405,106,dieoff
M,43,67,1029.563,0.0019425717513158493,0.2958188760263375,0.984590829250057,0.8838580558975874,0.04826405194793797,0.05103421689442309,19,after 6mo
M,43,67,970.7934,0.0020601705780035175,0.18867199283388283,0.9822713262255232,1.5009206555623784,0.04404370770840788,0.026731979450731105,15,after 12mo
M,43,68,1183.0657,0.0016905231890333731,14.230745524443698,0.9865266118072885,0.12243146760896466,0.06298792767294345,0.16166274781311654,529,baseline
M,43,68,1120.362,0.0017851373038357244,0.662030521313576,0.9671964596767376,0.3031421765845624,0.023651516578001373,0.012927712651155113,176,dieoff
M,43,68,1071.3291,0.0018668399840907899,0.2701120187381388,0.9812598194596269,1.0388649248776045,0.04100475293958882,0.025825859874421576,25,after 6mo
